pixel_index,color_value
860,-15856114
861,-15988214
862,-15987959
863,-16185079
864,-16185079
865,-16185079
866,-14541542
867,-9149365
868,-9807039
869,-10991822
870,-13029596
871,-14739180
872,-14870510
873,-15330802
874,-13884646
875,-11517390
876,-9148586
877,-7240591
878,-6122110
879,-5332853
880,-4411490
881,-4016734
882,-3557212
883,-3884888
884,-13949406
885,-15461613
886,-15987700
887,-15922420
888,-16054006
889,-16119030
890,-16119286
891,-16119286
892,-16053493
893,-16185079
894,-16053493
895,-16119286
896,-16250872
897,-15987700
898,-15987959
899,-16053493
900,-9150924
901,-9874896
902,-10663637
903,-10992597
904,-13229543
905,-12113120
906,-12047587
907,-8098236
908,-9479370
909,-9808328
910,-10071243
911,-9149894
912,-9675977
913,-10927823
914,-10729166
915,-10070982
916,-9874631
917,-10531021
918,-10531795
919,-11846615
920,-12440797
921,-11783128
922,-10266827
923,-11651543
924,-11716307
925,-11849948
926,-12505304
927,-11648722
928,-15856375
929,-15922166
930,-15922166
931,-15856373
932,-15592944
933,-15790834
934,-15527662
935,-15658994
936,-15790834
937,-15790834
938,-15659248
939,-15790580
940,-16119288
941,-15987703
942,-15528435
943,-11385557
944,-9481427
945,-10664154
946,-9941461
947,-10072274
948,-10006740
949,-14739950
950,-15790580
951,-15987192
952,-15396083
953,-12896468
954,-10726078
955,-8293020
956,-5661300
957,-4740457
958,-3885664
959,-3622496
960,-4872559
961,-15461354
962,-16119286
963,-16185079
964,-16185079
965,-15921907
966,-15922420
967,-16053493
968,-16185079
969,-15987700
970,-16119286
971,-15921907
972,-15987700
973,-15921907
974,-15921907
975,-10204365
976,-9941199
977,-9874896
978,-10663380
979,-12112864
980,-11850203
981,-9215168
982,-9940171
983,-10072013
984,-10203084
985,-10201545
986,-9149893
987,-10600147
988,-9811406
989,-11715539
990,-11123413
991,-11391715
992,-10991565
993,-11254992
994,-10597329
995,-12373974
996,-13821933
997,-12835557
998,-12306646
999,-11976915
1000,-11977429
1001,-11845843
1002,-12898274
1003,-15856373
1004,-15987959
1005,-15856373
1006,-15790580
1007,-15724787
1008,-15724787
1009,-15527408
1010,-15724787
1011,-15724787
1012,-15527408
1013,-15725041
1014,-15593201
1015,-15790834
1016,-14804977
1017,-11323106
1018,-10735842
1019,-9545934
1020,-9612492
1021,-10401239
1022,-10729687
1023,-13491425
1024,-15856627
1025,-15987700
1026,-15593453
1027,-15527147
1028,-15395563
1029,-15856375
1030,-15987959
1031,-15791608
1032,-10990539
1033,-7044496
1034,-4938864
1035,-3556701
1036,-6187910
1037,-15987700
1038,-16053495
1039,-15987700
1040,-16185336
1041,-15987700
1042,-15987700
1043,-15987700
1044,-16053493
1045,-15987957
1046,-15921907
1047,-15790321
1048,-15856114
1049,-15790321
1050,-10532562
1051,-10204115
1052,-11584213
1053,-11454680
1054,-11915742
1055,-9941710
1056,-10203599
1057,-8163000
1058,-9676237
1059,-8820929
1060,-10401737
1061,-10927316
1062,-11254991
1063,-12241882
1064,-10859727
1065,-12505307
1066,-11391199
1067,-11782361
1068,-11189199
1069,-10991057
1070,-11386068
1071,-13031648
1072,-13296361
1073,-12240853
1074,-12109781
1075,-12635865
1076,-11386066
1077,-15921908
1078,-15790835
1079,-15856373
1080,-15724788
1081,-15724788
1082,-15527408
1083,-15330029
1084,-15659249
1085,-15658994
1086,-15658994
1087,-15659248
1088,-15527408
1089,-15856627
1090,-15724787
1091,-15790834
1092,-15922167
1093,-10861272
1094,-12108761
1095,-9678551
1096,-10865631
1097,-11584981
1098,-15724787
1099,-15856883
1100,-15856627
1101,-15593455
1102,-15593455
1103,-15461867
1104,-15658991
1105,-15593453
1106,-15527662
1107,-15790580
1108,-15922168
1109,-15068916
1110,-4543856
1111,-3885666
1112,-6844288
1113,-15921907
1114,-15987959
1115,-15921907
1116,-16250872
1117,-16119286
1118,-16053491
1119,-15987700
1120,-15856114
1121,-15921907
1122,-15921907
1123,-15856114
1124,-15856114
1125,-10994641
1126,-10334930
1127,-11583704
1128,-11454424
1129,-12245219
1130,-9874894
1131,-10138066
1132,-8558014
1133,-9939403
1134,-9875917
1135,-11254486
1136,-10530765
1137,-11652314
1138,-11846358
1139,-12307931
1140,-13029860
1141,-12438230
1142,-12900326
1143,-12371152
1144,-12307932
1145,-12174806
1146,-11254998
1147,-13230826
1148,-12702940
1149,-12632787
1150,-12174290
1151,-11911642
1152,-16053749
1153,-15922166
1154,-15593201
1155,-15856627
1156,-15724787
1157,-15527408
1158,-15461615
1159,-15330029
1160,-15395565
1161,-15527408
1162,-15527662
1163,-15725041
1164,-15593453
1165,-15790834
1166,-15527408
1167,-15725041
1168,-15856116
1169,-15724789
1170,-12830684
1171,-11314317
1172,-6777982
1173,-15395815
1174,-1381396
1175,-14671059
1176,-15659248
1177,-15527661
1178,-15725041
1179,-15658994
1180,-15593454
1181,-15461869
1182,-15264490
1183,-15856627
1184,-15790069
1185,-4609648
1186,-3754074
1187,-4806251
1188,-15066598
1189,-15987698
1190,-16119286
1191,-15987700
1192,-16053493
1193,-16119286
1194,-15724528
1195,-15987700
1196,-15856114
1197,-15724528
1198,-15724526
1199,-15790319
1200,-10006733
1201,-10531793
1202,-11846619
1203,-10729688
1204,-11718104
1205,-10795478
1206,-10334675
1207,-9346755
1208,-8623547
1209,-11255252
1210,-12043731
1211,-12635614
1212,-15067887
1213,-12832224
1214,-11912402
1215,-14936819
1216,-12767453
1217,-3686989
1218,-12571104
1219,-12439005
1220,-12569819
1221,-11254228
1222,-12836584
1223,-12965084
1224,-12108498
1225,-10926034
1226,-4937055
1227,-4607578
1228,-4739164
1229,-4739419
1230,-4937836
1231,-15330029
1232,-15658994
1233,-15724787
1234,-15395822
1235,-15396076
1236,-15461615
1237,-15461869
1238,-15461869
1239,-15725041
1240,-15461869
1241,-15593455
1242,-15527660
1243,-15725041
1244,-15724787
1245,-15790580
1246,-15790580
1247,-15790834
1248,-13684684
1249,-13553868
1250,-15198186
1251,-7896707
1252,-15461869
1253,-15659248
1254,-15659248
1255,-15725041
1256,-15725041
1257,-15725039
1258,-15658993
1259,-15922420
1260,-5267576
1261,-4148836
1262,-4149088
1263,-9476012
1264,-15592940
1265,-16119286
1266,-16119799
1267,-15921907
1268,-16185079
1269,-15987700
1270,-15921907
1271,-15790834
1272,-15856114
1273,-16185079
1274,-15856113
1275,-10532820
1276,-11125464
1277,-10400980
1278,-12308189
1279,-9412807
1280,-7242165
1281,-10731220
1282,-10728658
1283,-11320533
1284,-12570332
1285,-14278890
1286,-15921655
1287,-15462387
1288,-14147561
1289,-11781334
1290,-5792883
1291,-4543847
1292,-3753813
1293,-4609893
1294,-3952999
1295,-12832473
1296,-12571615
1297,-12438230
1298,-12437206
1299,-11320789
1300,-10070216
1301,-4870752
1302,-5266023
1303,-4871776
1304,-5266020
1305,-4739418
1306,-4475992
1307,-15264236
1308,-15593201
1309,-15461615
1310,-15658993
1311,-15527408
1312,-15396076
1313,-15461614
1314,-15725041
1315,-15659248
1316,-15593455
1317,-15659248
1318,-15725041
1319,-15527662
1320,-15724787
1321,-15724787
1322,-15790834
1323,-15659248
1324,-14672609
1325,-15394537
1326,-15724528
1327,-9542042
1328,-15921907
1329,-15724528
1330,-15856114
1331,-15593454
1332,-15659248
1333,-15790834
1334,-15659248
1335,-7768215
1336,-6122887
1337,-3688538
1338,-5399925
1339,-15856117
1340,-16119287
1341,-15921907
1342,-15856114
1343,-15987700
1344,-15987702
1345,-16119286
1346,-15921907
1347,-15856114
1348,-15988213
1349,-15856114
1350,-9085126
1351,-10928086
1352,-10597846
1353,-11781593
1354,-10862289
1355,-8821702
1356,-11388121
1357,-11650259
1358,-10927314
1359,-13096935
1360,-13357020
1361,-15133423
1362,-15067634
1363,-10071242
1364,-5530992
1365,-4807536
1366,-7110526
1367,-4281960
1368,-4874350
1369,-4807790
1370,-4083296
1371,-4017245
1372,-12570848
1373,-11912145
1374,-11189732
1375,-5725810
1376,-5068129
1377,-5529709
1378,-4805986
1379,-4871263
1380,-4542814
1381,-4673883
1382,-4673885
1383,-14278884
1384,-15395822
1385,-15856627
1386,-15659248
1387,-15593455
1388,-15593455
1389,-15725041
1390,-15725041
1391,-15659248
1392,-15725041
1393,-15725041
1394,-15527408
1395,-15725041
1396,-15527662
1397,-15593455
1398,-15790834
1399,-15198184
1400,-2237222
1401,-15856114
1402,-16052983
1403,-13158858
1404,-15856114
1405,-15790321
1406,-15921907
1407,-15790834
1408,-15725041
1409,-15856627
1410,-15527147
1411,-5992591
1412,-5531259
1413,-5072759
1414,-5466242
1415,-15658730
1416,-15988213
1417,-16053493
1418,-16119286
1419,-16119286
1420,-15987700
1421,-15921907
1422,-15856114
1423,-15987700
1424,-16119286
1425,-11979739
1426,-8952772
1427,-10072273
1428,-11190230
1429,-9281738
1430,-11518676
1431,-9743048
1432,-10991570
1433,-11254739
1434,-13228004
1435,-14804717
1436,-15528180
1437,-14740719
1438,-6584217
1439,-4544609
1440,-5926536
1441,-12895931
1442,-4479596
1443,-4676972
1444,-4808053
1445,-5793396
1446,-5004398
1447,-5003626
1448,-3555153
1449,-3884633
1450,-4607068
1451,-4344667
1452,-4805986
1453,-4937572
1454,-4279126
1455,-4213851
1456,-4542043
1457,-4936804
1458,-5463665
1459,-8097205
1460,-15330031
1461,-15527408
1462,-15922420
1463,-15922420
1464,-15659248
1465,-15725041
1466,-15790834
1467,-15592942
1468,-15725041
1469,-15593455
1470,-15527660
1471,-15461356
1472,-15593201
